Park;Year;Month;Day;Consumption
Oriental;2023;1;1;20,8
ArcaAgua;2023;1;1;5,2
Covelo;2023;1;1;9,27
Cidade;2023;1;1;68,25
Oriental;2023;1;2;19
ArcaAgua;2023;1;2;4,9
Covelo;2023;1;2;8,82
Cidade;2023;1;2;63,05
Oriental;2023;1;3;19
ArcaAgua;2023;1;3;4,75
Covelo;2023;1;3;9
Cidade;2023;1;3;64,35
Oriental;2023;1;4;20
ArcaAgua;2023;1;4;4,75
Covelo;2023;1;4;8,91
Cidade;2023;1;4;68,25
Oriental;2023;1;5;20,8
ArcaAgua;2023;1;5;5,2
Covelo;2023;1;5;8,82
Cidade;2023;1;5;66,3
Oriental;2023;1;6;19,2
ArcaAgua;2023;1;6;5,2
Covelo;2023;1;6;8,64
Cidade;2023;1;6;67,6
Oriental;2023;1;7;19,2
ArcaAgua;2023;1;7;4,85
Covelo;2023;1;7;9,27
Cidade;2023;1;7;61,75
Oriental;2023;1;8;20
ArcaAgua;2023;1;8;5,15
Covelo;2023;1;8;8,64
Cidade;2023;1;8;65
Oriental;2023;1;9;19,2
ArcaAgua;2023;1;9;5,05
Covelo;2023;1;9;9,36
Cidade;2023;1;9;64,35
Oriental;2023;1;10;19,8
ArcaAgua;2023;1;10;4,95
Covelo;2023;1;10;8,55
Cidade;2023;1;10;65
Oriental;2023;1;11;19
ArcaAgua;2023;1;11;4,8
Covelo;2023;1;11;8,55
Cidade;2023;1;11;65
Oriental;2023;1;12;19,2
ArcaAgua;2023;1;12;5,05
Covelo;2023;1;12;9,18
Cidade;2023;1;12;65,65
Oriental;2023;1;13;19,6
ArcaAgua;2023;1;13;4,75
Covelo;2023;1;13;9,09
Cidade;2023;1;13;63,7
Oriental;2023;1;14;19,2
ArcaAgua;2023;1;14;5,25
Covelo;2023;1;14;8,91
Cidade;2023;1;14;66,95
Oriental;2023;1;15;19
ArcaAgua;2023;1;15;4,8
Covelo;2023;1;15;9
Cidade;2023;1;15;66,3
Oriental;2023;1;16;20,8
ArcaAgua;2023;1;16;4,8
Covelo;2023;1;16;9,36
Cidade;2023;1;16;68,25
Oriental;2023;1;17;19,6
ArcaAgua;2023;1;17;4,8
Covelo;2023;1;17;9,09
Cidade;2023;1;17;63,05
Oriental;2023;1;18;19,6
ArcaAgua;2023;1;18;5,1
Covelo;2023;1;18;9,36
Cidade;2023;1;18;62,4
Oriental;2023;1;19;19,4
ArcaAgua;2023;1;19;4,75
Covelo;2023;1;19;9,18
Cidade;2023;1;19;65
Oriental;2023;1;20;20,2
ArcaAgua;2023;1;20;4,8
Covelo;2023;1;20;9,18
Cidade;2023;1;20;64,35
Oriental;2023;1;21;19,4
ArcaAgua;2023;1;21;5
Covelo;2023;1;21;8,91
Cidade;2023;1;21;64,35
Oriental;2023;1;22;19,4
ArcaAgua;2023;1;22;5,15
Covelo;2023;1;22;9,27
Cidade;2023;1;22;66,3
Oriental;2023;1;23;19
ArcaAgua;2023;1;23;5,25
Covelo;2023;1;23;9,18
Cidade;2023;1;23;65,65
Oriental;2023;1;24;19,2
ArcaAgua;2023;1;24;5
Covelo;2023;1;24;9
Cidade;2023;1;24;64,35
Oriental;2023;1;25;21
ArcaAgua;2023;1;25;5,25
Covelo;2023;1;25;8,73
Cidade;2023;1;25;65
Oriental;2023;1;26;19
ArcaAgua;2023;1;26;5,1
Covelo;2023;1;26;9,27
Cidade;2023;1;26;63,05
Oriental;2023;1;27;20,8
ArcaAgua;2023;1;27;4,95
Covelo;2023;1;27;9,27
Cidade;2023;1;27;61,75
Oriental;2023;1;28;20,2
ArcaAgua;2023;1;28;4,9
Covelo;2023;1;28;8,73
Cidade;2023;1;28;61,75
Oriental;2023;1;29;20,8
ArcaAgua;2023;1;29;4,75
Covelo;2023;1;29;9,27
Cidade;2023;1;29;63,7
Oriental;2023;1;30;21
ArcaAgua;2023;1;30;4,9
Covelo;2023;1;30;9
Cidade;2023;1;30;66,95
Oriental;2023;1;31;20,4
ArcaAgua;2023;1;31;5,05
Covelo;2023;1;31;9,45
Cidade;2023;1;31;65
Oriental;2023;2;1;21,21
ArcaAgua;2023;2;1;5,5125
Covelo;2023;2;1;9,9225
Cidade;2023;2;1;65,52
Oriental;2023;2;2;20,16
ArcaAgua;2023;2;2;5,46
Covelo;2023;2;2;9,45
Cidade;2023;2;2;65,52
Oriental;2023;2;3;20,79
ArcaAgua;2023;2;3;5,46
Covelo;2023;2;3;9,639
Cidade;2023;2;3;68,9325
Oriental;2023;2;4;20,79
ArcaAgua;2023;2;4;5,1975
Covelo;2023;2;4;9,5445
Cidade;2023;2;4;70,2975
Oriental;2023;2;5;20,37
ArcaAgua;2023;2;5;5,1975
Covelo;2023;2;5;9,072
Cidade;2023;2;5;67,5675
Oriental;2023;2;6;20,37
ArcaAgua;2023;2;6;5,145
Covelo;2023;2;6;0
Cidade;2023;2;6;70,2975
Oriental;2023;2;7;21,84
ArcaAgua;2023;2;7;5,25
Covelo;2023;2;7;9,072
Cidade;2023;2;7;68,9325
Oriental;2023;2;8;21,63
ArcaAgua;2023;2;8;5,145
Covelo;2023;2;8;9,1665
Cidade;2023;2;8;64,8375
Oriental;2023;2;9;20,58
ArcaAgua;2023;2;9;5,1975
Covelo;2023;2;9;9,1665
Cidade;2023;2;9;70,98
Oriental;2023;2;10;21
ArcaAgua;2023;2;10;5,3025
Covelo;2023;2;10;9,5445
Cidade;2023;2;10;70,98
Oriental;2023;2;11;21
ArcaAgua;2023;2;11;5,355
Covelo;2023;2;11;9,072
Cidade;2023;2;11;70,98
Oriental;2023;2;12;21,21
ArcaAgua;2023;2;12;4,9875
Covelo;2023;2;12;9,828
Cidade;2023;2;12;64,8375
Oriental;2023;2;13;20,16
ArcaAgua;2023;2;13;4,9875
Covelo;2023;2;13;9,5445
Cidade;2023;2;13;70,98
Oriental;2023;2;14;22,05
ArcaAgua;2023;2;14;5,3025
Covelo;2023;2;14;9,9225
Cidade;2023;2;14;65,52
Oriental;2023;2;15;20,58
ArcaAgua;2023;2;15;5,04
Covelo;2023;2;15;9,1665
Cidade;2023;2;15;67,5675
Oriental;2023;2;16;20,16
ArcaAgua;2023;2;16;5,04
Covelo;2023;2;16;9,261
Cidade;2023;2;16;70,98
Oriental;2023;2;17;21,63
ArcaAgua;2023;2;17;4,9875
Covelo;2023;2;17;9,5445
Cidade;2023;2;17;64,8375
Oriental;2023;2;18;0
ArcaAgua;2023;2;18;5,3025
Covelo;2023;2;18;9,072
Cidade;2023;2;18;67,5675
Oriental;2023;2;19;20,37
ArcaAgua;2023;2;19;5,145
Covelo;2023;2;19;9,072
Cidade;2023;2;19;70,2975
Oriental;2023;2;20;19,95
ArcaAgua;2023;2;20;5,04
Covelo;2023;2;20;9,639
Cidade;2023;2;20;68,25
Oriental;2023;2;21;22,05
ArcaAgua;2023;2;21;5,5125
Covelo;2023;2;21;9,1665
Cidade;2023;2;21;69,615
Oriental;2023;2;22;21,42
ArcaAgua;2023;2;22;5,25
Covelo;2023;2;22;9,261
Cidade;2023;2;22;68,25
Oriental;2023;2;23;20,79
ArcaAgua;2023;2;23;4,9875
Covelo;2023;2;23;9,9225
Cidade;2023;2;23;68,9325
Oriental;2023;2;24;21
ArcaAgua;2023;2;24;5,1975
Covelo;2023;2;24;9,5445
Cidade;2023;2;24;65,52
Oriental;2023;2;25;20,37
ArcaAgua;2023;2;25;5,46
Covelo;2023;2;25;9,828
Cidade;2023;2;25;64,8375
Oriental;2023;2;26;20,16
ArcaAgua;2023;2;26;4,9875
Covelo;2023;2;26;9,3555
Cidade;2023;2;26;64,8375
Oriental;2023;2;27;21,63
ArcaAgua;2023;2;27;5,355
Covelo;2023;2;27;9,1665
Cidade;2023;2;27;65,52
Oriental;2023;2;28;20,16
ArcaAgua;2023;2;28;5,4075
Covelo;2023;2;28;9,1665
Cidade;2023;2;28;65,52
Oriental;2023;3;1;25,956
ArcaAgua;2023;3;1;6,174
Covelo;2023;3;1;11,2266
Cidade;2023;3;1;81,9
Oriental;2023;3;2;25,956
ArcaAgua;2023;3;2;6,426
Covelo;2023;3;2;11,907
Cidade;2023;3;2;82,719
Oriental;2023;3;3;25,2
ArcaAgua;2023;3;3;6,174
Covelo;2023;3;3;11,7936
Cidade;2023;3;3;84,357
Oriental;2023;3;4;25,2
ArcaAgua;2023;3;4;6,552
Covelo;2023;3;4;11,6802
Cidade;2023;3;4;81,9
Oriental;2023;3;5;23,94
ArcaAgua;2023;3;5;5,985
Covelo;2023;3;5;11,5668
Cidade;2023;3;5;81,9
Oriental;2023;3;6;25,2
ArcaAgua;2023;3;6;6,048
Covelo;2023;3;6;11,907
Cidade;2023;3;6;81,081
Oriental;2023;3;7;26,46
ArcaAgua;2023;3;7;30,555
Covelo;2023;3;7;11,6802
Cidade;2023;3;7;81,081
Oriental;2023;3;8;25,2
ArcaAgua;2023;3;8;6,552
Covelo;2023;3;8;11,34
Cidade;2023;3;8;0
Oriental;2023;3;9;25,452
ArcaAgua;2023;3;9;6,048
Covelo;2023;3;9;11,4534
Cidade;2023;3;9;81,9
Oriental;2023;3;10;24,696
ArcaAgua;2023;3;10;5,985
Covelo;2023;3;10;11,34
Cidade;2023;3;10;82,719
