File; size; time
us14_1.csv; 150; 20
us14_2.csv; 300; 5
us14_3.csv; 450; 13
us14_4.csv; 600; 29
us14_5.csv; 750; 49
us14_6.csv; 900; 65
us14_7.csv; 1050; 97
us14_8.csv; 1200; 113
us14_9.csv; 1350; 148
us14_10.csv; 1500; 202
us14_11.csv; 1650; 226
us14_12.csv; 1800; 255
us14_13.csv; 1950; 302
us14_14.csv; 2100; 419
us14_15.csv; 2250; 396
us14_16.csv; 2400; 497
us14_17.csv; 2550; 569
us14_18.csv; 2700; 678
us14_19.csv; 2850; 790
us14_20.csv; 3000; 958
us14_21.csv; 3150; 1130
us14_22.csv; 3300; 1303
us14_23.csv; 3450; 1507
us14_24.csv; 3600; 1457
us14_25.csv; 3750; 1644
us14_26.csv; 3900; 2020
us14_27.csv; 4050; 1981
us14_28.csv; 4200; 4107
us14_29.csv; 4350; 2530
us14_30.csv; 4500; 2844
