Start; Route; Cost
23;23, AP2,;1
30;30, AP3,;1
9;9, AP4,;2
11;11, AP4,;2
28;28, AP3,;2
5;5, AP5,;3
12;12, 11, AP4,;3
22;22, 23, AP2,;3
26;26, 28, AP3,;3
31;31, 28, AP3,;3
36;36, AP4,;3
8;8, 9, AP4,;4
13;13, 12, 11, AP4,;4
25;25, 23, AP2,;4
27;27, 31, 28, AP3,;4
35;35, 36, AP4,;4
3;3, 5, AP5,;5
6;6, 5, AP5,;5
14;14, 9, AP4,;5
15;15, AP1,;5
34;34, 36, AP4,;5
37;37, 12, 11, AP4,;5
7;7, AP1,;6
40;40, 22, 23, AP2,;6
18;18, AP1,;7
20;20, 22, 23, AP2,;7
21;21, 22, 23, AP2,;7
32;32, 35, 36, AP4,;7
33;33, 35, 36, AP4,;7
38;38, 40, 22, 23, AP2,;7
1;1, 3, 5, AP5,;8
17;17, AP1,;8
19;19, AP1,;8
39;39, 38, 40, 22, 23, AP2,;8
﻿0;﻿0, 7, AP1,;9
2;2, 3, 5, AP5,;10
